Infraorder,Superfamily,Family,Subfamily,Species,Source,Identifier,Storage,Sex,Age (years),Body mass (kg),Brain mass (g),Post-mortem (h),Total brain volume (mm3),Telencephalon (mm3),Hemispheres (mm3),Right hemisphere  (mm3),Left hemisphere  (mm3),Corpus callosum (mm3),Neocortical grey (mm3),Right neocortical grey (mm3),Left neocortical grey (mm3),Lateral geniculate nucleii (mm3),Right lateral geniculate nucleus (mm3),Left lateral geniculate nucleus (mm3),Cerebellum (mm3),Included in Table 1,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callithrix penicillata,Primate Brain Bank,PB0519,Sucrose, male,10.7,0.216,7.0,4,6514.19,4698.11,4590.22,2276.51,2313.71,107.89,3229.91,1597.98,1631.93,19.80,9.68,10.12,794.42, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callithrix pygmaea,Primate Brain Bank,PB0206,Sucrose, male,9,0.13,4.9,5.5,4308.33,3202.87,3146.52,1569.60,1576.92,56.36,2241.11,1130.23,1110.88,12.23,7.22,5.01,478.12, Yes , Cut though R hemisphere and midbrain; medulla incomplete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Cebinae,Cebus apella,Primate Brain Bank,PB0737,Sucrose, male,22,,85.0,24,74229.03,61387.98,59892.35,30097.45,29794.90,1495.63,37879.40,18957.78,18921.63,116.62,59.18,57.44,5931.26, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Leontopithecus rosalia,Primate Brain Bank,PB0740,Sucrose,female,8,0.33,12.0,24,10862.94,8284.09,8137.28,4017.25,4120.03,146.81,6066.87,2961.06,3105.81,31.25,15.49,15.75,1089.44, Yes , Damaged frontal lobes; overall brain shape slightly deformed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Leontopithecus rosalia,Primate Brain Bank,PB0742,Sucrose, male,17,0.33,13.0,24,11847.64,9209.05,9036.12,4518.48,4517.64,172.92,6787.67,3379.34,3408.33,34.76,17.66,17.10,1090.36, Yes ," Damaged cerebellum, L temporal lobe, hippothalamus and amygdala; medulla incomplete ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Saimiriinae,Saguinus fuscicollis weddelli,Primate Brain Bank,PB0610,Sucrose,female,5.3,0.42,9.0,14,8200.26,6176.23,6052.21,3066.40,2985.81,124.03,4246.02,2149.25,2096.78,28.79,14.69,14.10,827.38, Yes , Piece of R frontal hemisphere out of place; midbrain slightly deformed; collapsed venticles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Saguinus imperator,Primate Brain Bank,PB0621,Sucrose, male,6,,10.0,24,9370.88,7145.58,7016.33,3494.94,3521.39,129.25,5012.38,2476.97,2535.41,39.34,19.33,20.01,824.25, Yes , Damage in hemispheres ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Saguinus midas,Primate Brain Bank,PB0316,Sucrose,female,5.5,,12.7,20,10782.87,8265.36,8127.72,4064.19,4063.52,137.65,5863.16,2936.26,2926.91,38.05,19.06,18.99,1045.43, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Saguinus oedipus,Primate Brain Bank,PB0203,Sucrose,female,19.5,,,5.5,8275.01,6088.25,5961.99,2964.57,2997.42,126.25,4185.57,2076.56,2109.01,28.35,14.70,13.64,974.23, No ," Brain was sliced through, most inner structures complete, but damaged; incomplete medulla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Saguinus oedipus,Primate Brain Bank,PB0805,Sucrose,female,6,,12.0,12,10673.28,8442.91,8287.66,4120.55,4167.11,155.25,5996.43,3021.98,2974.45,27.57,13.18,14.39,874.42, Yes , Damages on hemispheres; pons incomplete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Saimiriinae,Saimiri boliviensis,Primate Brain Bank,PB0108,Sucrose,female,6.7,,,20,19260.23,16598.30,16365.72,8221.70,8144.02,232.57,11828.51,5975.89,5852.62,44.73,22.49,22.24,763.94, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Saimiri boliviensis,Primate Brain Bank,PB0719,Sucrose, male,24,,28.0,18,24055.52,19532.39,19146.92,9554.90,9592.02,385.48,13009.11,6499.60,6509.51,51.64,25.82,25.82,1992.42, Yes ," Neocortex deteriorated, both temporal lobes highly damaged, both amygdalas fragmented; incomplete medulla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Saimiriinae,Saimiri sciureus,Primate Brain Bank,PB0620,Sucrose,female,13,0.7,23.0,18,21642.56,17757.59,17423.24,9091.93,8331.31,334.34,12190.01,6333.14,5856.88,56.42,29.13,27.30,1671.98, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Pitheciidae,Pitheciinae,Pithecia pithecia,Primate Brain Bank,PB0720,Sucrose, male,4,,41.0,24,NA,24961.64,24455.37,12343.67,12111.70,506.27,16832.73,8486.73,8346.00,75.87,37.21,38.66,1843.46, No , Damaged frontal lobes and brainstem; deformed medulla; cerebellum probably incomplete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus hamlyni,Primate Brain Bank,PB0811,Sucrose, male,11,,76.0,12,70315.19,56609.12,55592.45,28085.94,27506.51,1016.66,35766.25,18192.13,17574.12,162.14,81.86,80.28,6783.83, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus mitis albogularis,Primate Brain Bank,PB0310,Sucrose, male,5.3,,125.0,120,66443.85,54545.09,53381.50,26553.56,26827.94,1163.58,34895.38,17306.44,17588.94,124.03,60.51,63.52,5433.24, Yes , Flattened brain; small fracture in midbrain; incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Cercopithecus nictitans,Primate Brain Bank,PB0523,Sucrose, male,25.7,5.6,82.0,20,73183.47,59159.74,58073.48,28737.24,29336.25,1086.25,37132.31,18602.43,18529.88,105.40,55.71,49.69,7283.92, Yes ," Piece of posterior L hemisphere missing, estimated ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Colobus guereza,Primate Brain Bank,PB0113,Sucrose, male,23.7,,94.1,11,77247.81,60744.88,59156.72,29639.60,29517.13,1588.16,33524.27,16916.94,16607.34,85.90,38.71,47.18,7926.48, Yes , Fracture in right hemisphere ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Erythrocebus patas,Primate Brain Bank,PB0810,Sucrose, male,27,,111.0,4,97005.79,81518.03,79733.39,39486.77,40246.62,1784.64,49024.07,24190.78,24833.29,176.85,89.54,87.31,7298.02, Yes , Overall brain shape deformed; incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Lophocebus albigena,Primate Brain Bank,PB0714,Sucrose,female,27,,104.0,24,89810.41,73890.25,72250.51,36052.45,36198.06,1639.74,44892.22,22417.06,22475.16,142.84,67.49,75.35,8125.75, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca arctoides,Primate Brain Bank,PB0421,Sucrose,female,29.7,6,,0,74743.69,60890.76,59865.67,30139.00,29726.67,1025.09,37613.83,18974.06,18639.77,107.85,52.57,55.29,7245.83, Yes ," R hemisphere damaged, but complete; incomplete medulla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca arctoides,Primate Brain Bank,PB0521,Sucrose, male,19.5,,,20,96201.99,80644.05,79145.75,39710.04,39435.70,1498.31,50137.67,25078.95,25058.71,181.40,89.12,92.29,7026.21, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca arctoides,Primate Brain Bank,PB1116,Sucrose,female,18,,111.0,0,101983.59,85404.70,83736.71,41681.17,42055.53,1667.99,53902.70,26755.50,27147.21,180.75,89.28,91.47,8479.23, Yes , Granulated surface; incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fascicularis,Primate Brain Bank,PB0509,Sucrose, male,14,5.6,70.0,0,55100.58,43853.75,43034.42,21545.56,21488.86,819.33,27521.44,13829.76,13691.68,93.39,46.11,47.29,5829.19, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fascicularis,Primate Brain Bank,PB0725,Sucrose,female,19,,60.0,3,52590.20,43017.71,41934.42,21001.84,20932.58,1083.28,26175.18,13063.80,13111.38,57.09,27.83,29.26,4462.62, Yes , Granulated surface ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fuscata,Primate Brain Bank,PB0323,Sucrose,female,7.7,7,,4,80608.98,68106.48,67004.23,33634.41,33369.82,1102.25,45007.09,22546.79,22460.31,132.33,63.68,68.65,5834.47, Yes ," Part of R hemisphere and cerebellum detached, although complete ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fuscata,Primate Brain Bank,PB0628,Sucrose,female,18,,112.0,24,97980.76,82365.51,80743.58,40597.64,40145.93,1621.93,51613.07,25939.25,25673.81,146.36,73.24,73.12,6993.31, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca mulatta,Primate Brain Bank,PB0414,Sucrose,female,17.8,9.8,,0,88347.15,72877.16,71356.05,35482.19,35873.86,1521.11,44557.89,22162.82,22395.08,135.18,68.63,66.55,7677.54, Yes ," Both hemispheres show slight fragmentation, although complete ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca nemestrina,Primate Brain Bank,PB0733,Sucrose, male,21,10.2,102.0,4,94813.84,77846.96,76040.56,37839.02,38201.54,1806.40,42872.64,21224.72,21647.92,139.55,64.67,74.89,7126.30, Yes , Granulated surface ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca nigra,Primate Brain Bank,PB0126,Sucrose, male,11.3,8,,0,75427.17,61089.79,59577.89,30308.38,29269.50,1511.90,34402.60,17467.12,16935.48,94.73,48.36,46.37,6995.10, Yes , Slight damage R hemisphere ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca silenus,Primate Brain Bank,PB0522,Sucrose, male,28,7.85,108.0,5,95121.19,78735.70,77366.03,39138.28,38227.75,1369.67,51109.63,25893.60,25216.03,134.95,62.44,72.52,8282.98, Yes ," Sliced R hemisphere, but complete ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca sylvana,Primate Brain Bank,PB0516,Sucrose, male,44.2,17,117.0,30,99252.16,80144.69,78478.62,39362.47,39116.14,1666.07,49667.81,24965.35,24702.46,171.38,83.84,87.54,9266.85, No ," Hemispheres slightly damaged; midbrain and cerebellum complete, but deattached from brain, several structures fragmented ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca sylvana,Primate Brain Bank,PB0729,Sucrose,female,5,6,97.0,24,83284.63,68216.51,67308.29,33690.93,33617.35,908.22,45352.78,22673.17,22679.61,132.57,67.39,65.19,7259.82, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Mandrillus sphinx,Primate Brain Bank,PB0710,Sucrose,female,8,,141.0,8,128292.08,103719.19,102396.85,51099.75,51297.09,1322.34,66858.27,33384.78,33473.49,265.19,132.74,132.44,13347.95, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Papio hamadryas,Primate Brain Bank,PB0116,Sucrose, male,24.8,16.9,,6,168266.30,139593.78,136733.22,68116.16,68617.06,2860.56,85309.20,41850.79,43458.40,226.49,108.52,117.96,14639.32, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Gorilla gorilla gorilla,Primate Brain Bank,PB0111,Sucrose,female,27,,,2.5,368395.55,295932.13,285778.02,142862.49,142915.53,10154.11,138853.21,69182.76,69670.44,NA,NA,NA,43960.74, Yes ," Scanned on 3T scanner, lower resolution, small structures not measurable, strange object in thalamus ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan paniscus,Primate Brain Bank,PB0702,Sucrose, male,22,40,327.0,10,286618.26,224578.36,218694.09,110646.86,108047.23,5884.27,128612.97,65734.37,62878.60,224.94,116.72,108.23,38571.67, Yes , Deformed medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,Primate Brain Bank,PB0705,Sucrose,female,45,43,330.0,8,316742.66,248839.66,243550.90,123006.00,120544.90,5288.76,146517.26,73769.38,72747.87,240.39,125.31,115.09,46089.25, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,Primate Brain Bank,PB0902,Sucrose,female,27,,,12,302429.67,237506.47,231379.26,115690.32,115688.94,6127.21,151519.92,77711.91,73808.01,268.86,133.58,135.27,42309.43, No , Slightly damaged cerebellum; inflated venticles (deformation) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,Primate Brain Bank,PB13NN,Sucrose,female,28.6,,386.0,NA,324415.17,258578.10,253174.67,126182.97,126991.70,5403.43,160256.12,80656.07,79600.05,216.84,103.41,113.43,43571.78, Yes ," Medulla incomplete, posterior cerebellum slightly damaged ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Cebinae,Cebus apella,Phillips,FW01 (Gizmo),In vivo MRI,female,16,Not known,Not known,Not applicable,62752.15,50565.44,49468.57,24634.29,24834.29,1096.87,NA,NA,NA,NA,NA,NA,5923.73, No ," Smaller structures not usable, excluded in averages ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Cebinae,Cebus apella,Phillips,FW02 (Jake),In vivo MRI,female,15,Not known,Not known,Not applicable,64487.25,51475.10,50411.35,25358.80,25052.55,1063.75,NA,NA,NA,NA,NA,NA,6332.26, No ," Smaller structures not usable, excluded in averages ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Gorilla gorilla gorilla,GANP,0062,PBS,female,55,Not known,487.6,Not known,456097.17,365021.86,355635.92,175129.68,180506.24,9385.94,223424.79,109754.59,113670.21,111.25,53.12,58.12,61546.25, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Gorilla gorilla gorilla,GANP,0444,PBS, male,34,Not known,468.7,Not known,408389.86,317739.08,310630.76,155317.11,155313.65,7108.32,178265.14,89405.97,88859.18,237.75,115.24,122.51,59406.71, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan paniscus,GANP,0166 (MCZ-2007-52),PBS,female,25,Not known,337.0,24,325918.11,257896.80,253325.10,127537.20,125787.90,4571.70,158461.10,78877.75,79583.35,236.18,122.50,113.68,45665.06, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,GANP,3859,PBS, male,20,Not known,Not known,Not known,396465.23,307946.77,302029.10,151675.49,150353.61,5917.68,188985.05,93319.63,95665.43,331.35,150.59,180.76,57699.02, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,GANP,1870,PBS,female,35,Not known,348.1,Not known,341484.37,267754.69,262461.33,131336.72,131124.61,5293.36,NA,NA,NA,NA,NA,NA,47465.63, No , Smaller structures not usable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pan troglodytes troglodytes,GANP,1032 (Hoboh),PBS, male,41,Not known,377.2,Not known,360660.35,289031.83,283402.44,141941.01,141461.43,5629.39,170198.73,84975.29,85223.44,261.77,124.37,137.40,44120.51, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pongo pygmaeus,GANP,0894 (Sabtu),PBS,female,38,Not known,376.0,Not known,286532.82,232313.09,227487.02,114408.11,113078.91,4826.07,143552.35,71779.40,71772.95,139.75,70.17,69.58,35433.98, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarrhini,Hominoidea,Hominidae,,Pongo pygmaeus,GANP,0844,PBS, male,37,Not known,Not known,Not known,360368.26,295354.98,289494.43,146034.08,143460.35,5860.55,185433.40,94843.95,90589.45,274.51,114.84,159.67,40161.04, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
